date;home_team;home_score;away_score;away_team;tournament;winner;phase_final;home_team_pourcentage_victoire;home_team_but_mis;home_team_but_enc;away_team_pourcentage_victoire;away_team_but_mis;away_team_but_enc;Rang_home_team;Rang_away_team;Host
1932;Sweden;7;1;Autre pays;0;2;0;47.37;2.9;1.7;20;0.8;1.8;;;1
1932;Uruguay;1;0;Argentina;0;2;0;25;0.5;1.5;50;1.3;0.7;;;1
1932;Czechoslovakia;1;1;Austria;0;1;0;40;2;2;70.59;3.6;1.2;;;1
1932;Netherlands;1;2;Czechoslovakia;0;0;0;60;2.1;1.6;40;2;2;;;1
1932;Yugoslavia;0;3;Poland;0;0;0;43.75;2.2;2.2;62.5;2.6;1.6;;;1
1932;Denmark;3;4;Belgium;0;0;0;33.33;2;2.6;41.67;2.2;2.8;;;1
1932;Norway;3;0;Autre pays;0;2;0;50;2.4;1.8;20;0.8;1.8;;;1
1932;Yugoslavia;2;1;France;0;2;0;43.75;2.2;2.2;25;2.2;3.1;;;1
1932;Bulgaria;3;5;France;0;0;0;66.67;2.4;1.8;25;2.2;3.1;;;1
1932;Autre pays;1;3;Sweden;0;0;0;20;0.8;1.8;47.37;2.9;1.7;;;1
1932;Romania;6;3;France;0;2;0;70;3;2.3;25;2.2;3.1;;;1
1932;Sweden;3;1;Belgium;0;2;0;47.37;2.9;1.7;41.67;2.2;2.8;;;1
1932;Norway;2;1;Autre pays;0;2;0;50;2.4;1.8;20;0.8;1.8;;;1
1932;Denmark;3;1;Sweden;0;2;0;33.33;2;2.6;47.37;2.9;1.7;;;1
1932;Switzerland;3;1;Hungary;0;2;0;21.43;1.7;3.1;35.29;2.1;2.1;;;1
1932;Bulgaria;2;0;Romania;0;2;0;66.67;2.4;1.8;70;3;2.3;;;1
1932;Yugoslavia;7;1;Greece;0;2;0;43.75;2.2;2.2;0;1;3.2;;;1
1932;Greece;0;3;Romania;0;0;0;0;1;3.2;70;3;2.3;;;1
1932;Yugoslavia;2;3;Bulgaria;0;0;0;43.75;2.2;2.2;66.67;2.4;1.8;;;1
1932;Autre pays;1;4;Germany;0;0;0;20;0.8;1.8;33.33;1.5;2.1;;;1
1932;Sweden;1;4;Norway;0;0;0;47.37;2.9;1.7;50;2.4;1.8;;;1
1932;Bulgaria;2;0;Greece;0;2;0;66.67;2.4;1.8;0;1;3.2;;;1
1932;Yugoslavia;3;1;Romania;0;2;0;43.75;2.2;2.2;70;3;2.3;;;1
1932;Poland;2;0;Sweden;0;2;0;62.5;2.6;1.6;47.37;2.9;1.7;;;1
1932;Autre pays;0;0;Sweden;0;1;0;20;0.8;1.8;47.37;2.9;1.7;;;1
1932;Autre pays;1;3;Sweden;0;0;0;20;0.8;1.8;47.37;2.9;1.7;;;1
1932;Sweden;3;4;Austria;0;0;0;47.37;2.9;1.7;70.59;3.6;1.2;;;1
1932;Autre pays;4;2;Denmark;0;2;0;20;0.8;1.8;33.33;2;2.6;;;1
1932;Northern Ireland;0;4;Scotland;0;0;0;12.5;1.2;2.6;54.55;1.8;2;;;1
1932;Hungary;2;1;Czechoslovakia;0;2;0;35.29;2.1;2.1;40;2;2;;;1
1932;Germany;4;3;Sweden;0;2;0;33.33;1.5;2.1;47.37;2.9;1.7;;;1
1932;Norway;1;2;Denmark;0;0;0;50;2.4;1.8;33.33;2;2.6;;;1
1932;Sweden;8;1;Autre pays;0;2;0;47.37;2.9;1.7;20;0.8;1.8;;;1
1932;Hungary;2;3;Austria;0;0;0;35.29;2.1;2.1;70.59;3.6;1.2;;;1
1932;Poland;2;1;Autre pays;0;2;0;62.5;2.6;1.6;20;0.8;1.8;;;1
1932;Romania;0;5;Poland;0;0;0;70;3;2.3;62.5;2.6;1.6;;;1
1932;Czechoslovakia;2;1;Yugoslavia;0;2;0;40;2;2;43.75;2.2;2.2;;;1
1932;England;1;0;Northern Ireland;0;2;0;70;3;1.5;12.5;1.2;2.6;;;1
1932;Austria;3;1;Switzerland;0;2;0;70.59;3.6;1.2;21.43;1.7;3.1;;;1
1932;Scotland;2;5;Wales;0;0;0;54.55;1.8;2;42.86;2.1;2.1;;;1
1932;Czechoslovakia;2;1;Italy;0;2;0;40;2;2;57.14;2.1;1;;;1
1932;Hungary;2;1;Germany;0;2;0;35.29;2.1;2.1;33.33;1.5;2.1;;;1
1932;Turkey;2;3;Bulgaria;0;0;0;33.33;1.7;2.7;66.67;2.4;1.8;;;1
1932;Switzerland;2;1;Sweden;0;2;0;21.43;1.7;3.1;47.37;2.9;1.7;;;1
1932;Wales;0;0;England;0;1;0;42.86;2.1;2.1;70;3;1.5;;;1
1932;Italy;4;2;Hungary;0;2;0;57.14;2.1;1;35.29;2.1;2.1;;;1
1932;Germany;0;2;Netherlands;0;0;0;33.33;1.5;2.1;60;2.1;1.6;;;1
1932;Uruguay;1;2;Brazil;0;0;0;25;0.5;1.5;100;2;0.5;;;1
1932;England;4;3;Austria;0;2;0;70;3;1.5;70.59;3.6;1.2;;;1
1932;Wales;4;1;Northern Ireland;0;2;0;42.86;2.1;2.1;12.5;1.2;2.6;;;1
1932;Belgium;1;6;Austria;0;0;0;41.67;2.2;2.8;70.59;3.6;1.2;;;1
1933;Italy;3;1;Germany;0;2;0;69.23;2.3;1.1;54.55;2.5;1.5;;;1
1933;Uruguay;2;1;Argentina;0;2;0;33.33;0.8;1.7;60;1.6;0.8;;;1
1933;Netherlands;0;2;Switzerland;0;0;0;40;1.4;1.4;29.41;1.7;2.3;;;1
1933;Portugal;1;0;Hungary;0;2;0;66.67;1.3;1.7;35.29;1.6;1.9;;;1
1933;Argentina;4;1;Uruguay;0;2;0;60;1.6;0.8;33.33;0.8;1.7;;;1
1933;Belgium;2;3;Italy;0;0;0;26.67;1.7;3.1;69.23;2.3;1.1;;;1
1933;France;0;4;Austria;0;0;0;21.43;1.8;2.9;56.25;3;1.6;;;1
